@X , On
@Th@@@e , Achille
@Edi@@@or , Devilleon
after , ofthe
dis@cussing@@@at , mostdistinguised
so@meengthwhois , Normaan@tiuares
the , who
@heroofhe , publiheat
romance , Rouen@@
in , in
to , an
theopinion , @@e@dition
byt@he , Mytere
@@ncient , duRobert
Chonicleo@f , leDiableoes
Normndythathe , no@thest@at@e
is , to
theson , expess
ofa , @hs
grandSignior , @con@viction
@na@med , thatthe
Aubest , Robert
and , the
or , by
Goveno , @thero
@@@ofta@t , mancesand
@province@@ , chroniclers
in , of
the , the
timeof , mi@dle
@thePther , otherthan
Charlemanein , Courte@@Hese
the , the
year , @son
Thisubest , lliathe@@
hadawif , Conuror
@nmed , Inthe
Ie , @t
sisterof , centur@y
the , the
@@Dukeof , jonglers
Bur@@@gu@@ndy , wereaccustome
by , to
whomhe , abrige
had , and
Bobert , fo@@rm
@the , more
Devil , easil
on , to
accuntofthe , @beremmbred
enomities , andbetter
committed , @@adapted
@by , for
@@hi@mi@n , recitaion
the , the
Porest , longer
when , the@
heretired , prcedi@ng
tot@@h , cetury
catlethe , tothe@se
ruins , xviii
ofwhic , PEFACE
were , @The
visibl , Editor
atthetop , a@t@e@@r
ofMoulineux , dicussin@@g
about , a@@@t
three , @some
leagues , leng@th
from , who@
Bouen , @@@@i
when , the@
theworhy , @hero@of
deBras , roance
@Charles , inclines
de , to
Bourgeville , @@theopinio
compiled , expessed
his , @by
Resarchesinto , theancie@@nt@
theAntiquities , Ch@on@@@@icles
of , of
Normandy , Normandy
@@ther , isthe@
hand , son@
M , o
Ahille , agrand
@oneo , Aubet
the , and
most , was@
di@stiguished , first@Du@@ke@
Norman , @or@@@
antiquaris , Governor@o
wh@o , that
published , province@
at , in
Bouen , @the@
inanditiono , tiinPepi@n@
the , the
Mystere , Father@
du , of
RobertleJDiablees , @Char@le@@magnein
he@s , year
@toxpress , ThiAubest
his , had
covictinthathe , @awi@fenmednde
@Bober@t , sisterof
the , the
Devil , D@@uk
soelebrate , @oBurgundy
by , by
theromacers , wh@@om@he@@
and , had
cronc@@lero@@@f , asoncalledobert
the , the
ageisno , @oncont
o@th@e@@r@than , oftheenormties
BobertCortHese , commitedbyimin
the , the
so@@@n , Forest
of , of
Willia@ , ouveray
In , to
the , the
th , ld
centui , castle
the , the
@@@@@onleurs , ruinsofwhich
were , were
accustomed , @@visible@
to , at
abrdge , thetop
and , @of
arrangein , Moulineux
aform , about
mor@e , three
@toeremeered , froRue@nwhen
and , the
better , worthy
the , @de
lo@ng@@@@@@e , Bourgueville
romances , compiled
@of , his
theprece@in@g , Resarchesinto
