@I , Fr
THE , Dun
ISLE , Juan
OFGRECE , catoiii
CCCXLIV , CCCXLIV
THE , THE
ISLES , ISLES
OF , OF
GREECE , GREECE
The , The
isles , isles
of , of
Greece , Greece
the , the
isles , isles
of , of
Greece , Greece
Where , Where
burning , burning
Sappho , Sappho
loved , loved
and , ani
sung , sung
Where , Where
grew , grew
the , the
arts , arts
of , of
war , war
and , and
peace , peace
Where , Where
Delos , Delos
rose , rose
and , and
Phbus , Phbus
sprung , sprung
Eternal , Eternal
summer , summer
gilds , gilds
them , them
yet , yet
But , But
all , all
except , except
their , their
sun , sun
is , is
set , set
The , The
Scian , Scian
and , and
the , the
Teian , Teian
muse , muse
The , The
heros , heros
harp , harp
the , the
lovers , lovers
lute , lute
Have , Have
found , found
the , the
fame , fame
your , your
shores , shores
refuse , refuse
Their , Their
place , place
of , of
birth , birth
alone , alone
is , is
mute , mute
To , To
sounds , sounds
which , which
echo , echo
further , further
west , west
Than , Than
your , your
sires , sires
Islands , Islands
of , of
the , the
Blest , Blest
The , The
mountains , mountains
look , look
on , on
Marathon , Marathon
And , And
Marathon , Marathon
looks , looks
on , on
the , the
sea , sea
And , And
musing , musing
there , there
an , an
hour , hour
alone , alone
I , I
dreamed , dreamed
that , that
Greece , Greece
might , might
still , still
be , be
free , free
For , For
standing , standing
on , on
the , the
Persians , Persians
grave , grave
I , I
could , could
not , not
deem , deem
myself , myself
a , a
slave , slave
A , A
king , king
sat , sat
on , on
the , the
rocky , rocky
brow , brow
Which , Which
looks , looks
oer , oer
seaborn , seaborn
Salamis , Salamis
And , And
ships , ships
by , by
thousands , thousands
lay , lay
below , below
And , And
men , men
in , in
nationsall , nationsall
were , were
his , his
He , He
counted , counted
them , them
at , at
break , break
of , of
day , day
And , And
when , when
the , the
sun , sun
set , set
where , where
were , were
they , they
And , And
where , where
are , are
they , they
and , and
where , where
art , art
thou , thou
My , My
country , country
On , On
thy , thy
voiceless , voiceless
shore , shore
The , The
heroic , heroic
lay , lay
is , is
tuneless , tuneless
now , now
The , The
heroic , heroic
bosom , bosom
beats , beats
no , no
more , more
And , And
must , must
thy , thy
lyre , lyre
so , so
long , long
divine , divine
Degenerate , Degenerate
into , into
hands , hands
like , like
mine , mine
@@@@r , SECTI
Don , THE
Juan , ISLE
