jkilfull , skilfull
@@a@tthe , inallthe
learning , learning
of , of
the , the
gyptiana , gyptian@
Caideans , Caldeans
and , and
Greeks , Greeks
which , which
could , could
not , not
probably , probably
be , be
without , without
reading , reading
their , their
Books , Books
of , of
all , all
rts , rts
in , in
Paul , Paul
especially , especially
who , who
thought , thought
it , it
no , no
defilement , defflement
to , to
insert , insert
into , into
holy , holy
Scripture , Scripture
the , the
sentences , sentences
of , of
three , three
Greek , Greek
Poets , Poets
and , and
one , one
of , of
them , them
a , a
Tragedian , Tragedian
hc , he
question , question
was , was
notwithstanding , notwithstanding
sometimes , sometimes
contro , contro
verted , verted
among , among
the , the
Primitive , Primitive
Doctors , Doctors
but , but
with , with
great , great
odds , odds
on , on
that , that
side , ffde
which , which
affrmd , a@@rmd
it , it
both , both
lawful , lawful
and , and
proftable , pro@table
as , as
was , was
then , then
evidently , evidently
perceivd , perceivd
when , when
Julian , Julian
the , the
Apostat , Apostat
and , and
suttlest , suttlest
enemy , enemy
to , to
our , our
faith , faith
made , made
a , a
decree , decree
forbidding , forbidding
Christians , Christians
the , the
study , study
os , of
heathen , heathen
learning , learning
for , for
said , said
he , he
they , they
wound , wound
us , us
with , with
our , our
own , own
weapons , weapons
and , and
with , with
our , our
owne , owne
art , art
and , and
sciences , sciences
they , they
overcome , overcome
us , us
And , And
indeed , indeed
the , the
Christi , Christi
ans , ans
were , were
put , put
so , so
to , to
their , their
shifts , shifts
by , by
this , this
crafty , crafty
means , means
and , and
lo , so
much , much
in , in
danger , danger
to , to
de@dine , decline
into , into
all , all
ignorance , ignorance
that , that
the , the
two , two
Apollinarii , Apollinarii
were , were
fain , fain
as , as
a , a
man , man
may , may
fayto , sayto
coin , coin
allthe , all@@@
seven , seven
@hberall , liberall
Sciences , Sciences
out , out
of , of
the , the
Bible , Bible
reducing , reducing
it , it
into , into
divers , divers
forms , forms
of , of
Orations , Oration@
Poems , Poems
Dialogues , Dialogues
cvn , evn
to , to
the , the
calculating , calculating
of , of
a , a
new , new
Christian , Christian
Grammar , Grammar
But , But
faith , saith
the , the
Hi@doritn , Historian
Socrates , Socrates
The , The
providence , providence
of , of
God , God
provided , provided
better , better
then , then
the , the
industry , industry
of , of
lApolli@mrius , @Apollinarius
and , and
hisonby , hisonby
taking , taking
away , away
that , that
illiterat , illiterat
law , law
with , with
the , the
file , life
of , of
him , him
whodevisd , whodevisd
it , it
So , So
great , great
an , an
injury , injury
they , they
then , then
held , held
it , it
to , to
be , be
deprivd , deprivd
of , of
Hellenics , Hellenick
learning , learning
and , and
thought , thought
it , it
a , a
perse , perse
cution , cution
more , more
undermining , undermining
and , and
ecretly , ecretly
decaying , decaying
the , the
Church , Church
then , then
fthe , @the
open , open
cruelty , cruelty
of , of
Dccius , Decius
or , or
Diocltjian , Diocleffan
And , And
perhaps , perhaps
it , it
was , was
the , the
fame , same
politick , politick
drift , drift
that , that
theDivell , theDivell
whipt , whipt
StJerom , StJerom
in , in
a , a
lenten , lenten
dream , dream
for , for
reading , reading
Cicero , Cicero
or , or
else , else
ic , it
was , was
a , a
fantafm , fantasm
bred , bred
by , by
the , the
feaver , feaver
which , which
had , had
henseisd , henseisd
himfor , himFor
had , had
an , an
Angel , Angel
bin , bin
his , his
difciplinerunlesse , disciplinerunlesse
it , it
were , were
for , for
dwelling , dwelling
too , too
much , much
uponCiceron@hnimsad , uponCiceronianimsad
chastizd , chastizd
the , the
reading , reading
not , not
the , the
vanity , vanity
it , it
had , had
bin , bin
plainly , plainly
partiallrst , partiallrst
to , to
correct , correct
him , him
for , for
grave , grave
Cicero , Cicero
and , and
not , not
for , for
fcurrill , scurrill
Hautus , lautus
whom , whom
he , he
confesses , confesses
to , to
have , have
bin , bin
reading , reading
not , not
long , long
before , before
next , next
to , to
correct , correct
him , him
only , only
and , and
let , let
lo , so
many , many
more , more
ancient , ancient
Fathers , Fathers
wax , wax
old , old
in , in
thole , those
pleasant , pleasant
and , and
forid , @orid
studies , studies
without , without
the , the
lash , lash
of , of
such , such
a , a
tutoring , tutoring
apparition , apparition
insomuch , insomuch
that , that
Basil , Baffl
teaches , reaches
how , how
some , some
good , good
use , use
may , may
be , be
made , made
of , of
cJWargites , @@Margites
a , a
sporful , sporful
iPoemnot , @Poemnot
now , now
extantwrit , extantwrit
by , by
Homerand , Homerand
why , why
not , not
then , then
of , of
Morgante , Morgante
an , an
Italian , Italian
Roraanz , Ro@manz
much , much
to , to
the , the
fame , same
purpose , purpose
But , But
if , if
it , it
be , be
agreed , agreed
we , we
shall , shall
be , be
tryd , tryd
by , by
visions , viffons
there , there
is , is
a , a
vision , viffon
recorded , recorded
by , by
Eusie , Eus@e
bins , bins
far , far
ancientcr , ancienter
then , then
this , this
tale , tale
of , of
Jeronxo , Jeromto
the , the
Nun , Nun
Eustochium , Eustochium
and , and
besides , beffdes
has , has
nothing , nothing
of , of
a , a
feavor , feavor
in , in
it , it
Dionysitus , Diony@ffus
Alexandrian@s , Alexandrinnus
wasa , wasa
bout , bout
the , the
year , year
a , a
person , person
of , of
great , great
name , name
in , in
the , the
Church , Church
for , for
piety , piety
and , and
tea@ming , learning
who , who
had , had
wont , wont
to , to
avail , avail
himself , himself
gwehagainst , muchagainst
bereticks , hereticks
by , by
