@@@@@@@@@@@@@A , Thegreatresort
@@t@@@@@@@@n@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@ , tothissolemnityTheythatwerecutkalltogether
treethere , treethere
was , was
great , great
fyres , syres
whereas , whereas
thert , there
w@ , wa
theit , their
pots , pots
a , a
seething , seething
andtheir , andtheir
victuals , victuals
adrestng , adre@@ng
and , and
also , also
their , their
mats , mats
laidto , laidto
take , take
vp , vp
their , their
lodgingsorting , lodgingsorting
themfelues , themselues
together , together
in , in
great , great
companies , companies
and , and
in , in
most , most
placeshauing , placeshauing
drumming , drumming
and , and
daun , daun
cing , cing
making , making
such , such
a , a
noyse , noyse
and , and
din , din
as , as
might , might
well , well
proceede , proceede
from , from
such , such
kinde , kinde
of , of
Actors , Actors
and , and
a , a
mongst , mongst
them , them
likewise , likewise
they , they
had , had
commerce , commerce
thing , thing
for , for
another , another
so , so
as , as
it , it
bad , had
a , a
manner , manner
of , of
resemjcumTty , rese@@@@m@@@
blancc , blance
to , to
our , our
fayres , fayres
here , here
in , in
England , England
neither , neither
was , was
there , there
want , want
of , of
any , any
manner , manner
of , of
prouision , prouiffon
for , for
as , as
much , much
as , as
all , all
kind , kind
of , of
people , people
that , that
came , came
thither , thither
brought , brought
some , some
manner , manner
of , of
sustenance , sustenance
with , with
them , them
and , and
the , the
peo , peo
ple , ple
of , of
the , the
place , place
did , did
prouideand , prouideand
releru , reseru
themfelues , themselues
against , against
this , this
time , time
so , so
as , as
I , I
may , may
well , well
fay , say
it , it
had , had
a , a
right , right
resemblance , resemblance
to , to
our , our
countrey , countrey
martesS , martes@
Amongst , Amongst
the , the
rest , rest
of , of
these , these
disperlcd , dispersed
companies , companies
I , I
tooke , tooke
notice , notice
of , of
one , one
who , who
stood , stood
more , more
re , re
mote , mote
and , and
was , was
elofde , closde
and , and
feuered , seuered
invnder , invnder
the , the
sha , sha
dy , dy
trees , trees
which , which
reedes , reedes
and , and
bowes , bowes
set , set
vp , vp
together , together
like , like
a , a
hedge , hedge
from , from
whence , whence
proceeded , proceeded
a , a
greater , greater
noyse , noyse
of , of
voyces , voyces
as , as
also , also
drumming , drumming
and , and
thumping , thumping
mor , mor
clamoroflydemaundingwhat , clamoroflydemaundingwhat
it , it
meant , meant
was , was
answeredin , answeredin
that , that
place , place
remained , remained
those , those
vouthes , youthes
that , that
were , were
cut , cut
and , and
they , they
to , to
continue , continue
vntil , vntil
such , such
timegctl , time@@@@
as , as
they , they
were , were
recouered , recouered
of , of
their , their
that , that
the , the
greacncslcof , greatnesseof
the , the
rioyfe , @noyse
did , did
come , come
from , from
those , those
peo , peo
ple , ple
@who , vvho
kept , kept
them , them
company , company
@which , vvhich
@were , vvere
the , the
yon , yon
gersort , gersort
of , of
peopleaboue , peopleaboue
their , their
age , age
who , who
had , had
alrea , alrea
dy , dy
past , past
and , and
recciucd , receiued
their , their
circumcision , circumciffon
I , I
went , went
likewise , likewise
that , that
nigbtafter , nightafter
@we , vve
had , had
suptto , suptto
the , the
maistet , maisser
of , of
the , the
townes , townes
house , house
@who , vvho
had , had
sent , sent
vnto , vnto
nice , @mee
to , to
mend , mend
my , my
supper , supper
a , a
brace , brace
of , of
Paftidges , Partidges
and , and
