IP , @@
body , body
If , If
it , it
be , be
a , a
Contraction , Contraction
of , of
the , the
Anteriour , Anteriour
parts , parts
of , of
the , the
Neck , Neck
towardsit , towardsit
is , is
called , called
EmproflonoS , Emprostonos
or , or
a , a
Contracti , Contracti
on , on
of , of
the , the
parts , parts
before , before
us , us
If , If
the , the
hinder , hinder
parts , parts
Opistotonos , Opistotonos
if , if
both , both
the , the
hinder , hinder
Mid , and
anterior , anterior
parts , parts
are , are
contracted , contracted
it , it
is , is
cal , cal
led , led
Tetanos , Teranos
The , The
Cause , Cause
of , of
a , a
Convulsion , Convulffon
by , by
con , con
sent , sent
is , is
when , when
the , the
knuvmg , knwing
or , or
pricking , pricking
of , of
the , the
Mouth , Mouth
or , or
stomach , Stomach
or , or
any , any
o , o
ther , ther
part , part
hurts , hurts
the , the
beginning , beginning
of , of
the , the
Nerves , Nerves
The , The
Cause , Cause
of , of
an , an
efsent@al , essential
Convulsion , Convulffon
is , is
either , either
repletion , repletion
or , or
exiccation , exiccation
for , for
as , as
firings , strings
sild , ffld
with , with
too , too
much , much
huniouror , hu@mouror
a , a
too , too
much , much
dryed , dryed
they , they
are , are
contracted , contracted
and , and
break , break
so , so
it , it
is , is
with , with
the , the
Nerves , Nerves
if , if
they , they
imbibe , imbibe
too , too
much , much
humorthey , humorthey
grow , grow
broa , broa
der , der
and , and
shorter , shorter
and , and
so , so
contract , contract
and , and
if , if
todrye , todrye
they , they
flirink , @shrink
up , up
Repletion , Repletion
is , is
from , from
a , a
Phlegm , Phlegm
itick , @tick
humour , humour
the , the
ex , ex
iccation , iccation
and , and
dryness , dryness
is , is
from , from
a , a
great , great
pe , pe
culiar , culiar
Feaver , Feaver
wlvch , which
doth , doth
not , not
univer , univer
sally , sally
dry , dry
the , the
whole , whole
body , body
but , but
wast , wast
the , the
Nerves , Nerves
more , more
then , then
the , the
fesh , @esh
and , and
that , that
violently , violently
So , So
that , that
though , though
a , a
Hcctick , Hectick
Feaver , Feaver
doth , doth
very , very
the , the
body , body
yet , yet
it , it
produces , produces
no , no
Convulsion , Convulffon
in , in
