Sectio , Se@tio
TertiaAftrologtiJudictarta , Tertia@@@@@@@@@@@@@@@@@@@@
ASrologia , A@rologia
Judiciariaea , Judiciari@@a
acprsertimdefeliciautinfselicicujulquefatoAstrologiJudiciariiinsignesaorientvirtutesdiverfi , Sc@@@@@@i@@@@e@@@@@@@@n@@@@@@@@@@@@@@@@@@@@@t@@@@@@@@@@@@@@@@@@@i@@@@a@@@@@@@@r@u@@@@@@@@@m
conjunction , @@@@@@@@@@@
Quinos , Quinos
apecus , ape@us
plane , plane
tarum , tarum
Primus , Primus
dicitur , dicitur
Sextilis , Sextilis
cum , cum
planeta , planeta
unus , unus
ab , ab
alio , alio
exta , exta
par , par
ecirculi , ecirculi
hoc , hoc
es , e@
gradibus , gradibus
Se , Se
undus , undus
vocatur , vocatur
Quadratus , Quadratus
cum , cum
di , di
ant , ant
invicem , invicem
quarta , quarta
parte , parte
irculi , irculi
hoc , hoc
gradibus , gradibus
Tertius , Tertius
Trigonus , Trigonus
quando , quando
tertia , tertia
tan , tan
urn , u@m
parte , parte
eu , eu
gradibus , gradibus
Quar , Quar
@us , tus
Oppostionis , Oppo@tionis
cum , cum
@@@ , bus
@@@@@@@@ , apeibuqu
