pie , ple
were , were
so , so
much , much
delighted , delighted
another , another
ceremonie , ceremonie
was , was
that , that
euery , euery
principall , principall
Marybpcke , Marybucke
a@nd , arid
men , men
of , of
note , note
amongst , amongst
them , them
would , would
take , take
of , of
the , the
earthwhich , earthwhich
came , came
forth , forth
of , of
the , the
place , place
his , his
grauc , graue
was , was
digged , digged
and , and
with , with
the , the
fame , same
waterwhich , waterwhich
was , was
in , in
the , the
potstandingARehqueof , potstanding@@@@@@@@@
in , in
tlie , t@he
seme , same
roome , roome
would , would
moysten , moysten
the , the
said , said
earthgrtestcemc , earth@@@@@@@@@@
and , and
so , so
forme , forme
therof , therof
a , a
round , round
ball , ball
which , which
they , they
would , would
carry , carry
away , away
with , with
them , them
andesteemeofas , andesteemeofas
a , a
great , great
Rclique , Relique
whereof , whereof
my , my
Alcbade , Alchade
or , or
Marybucke , Marybucke
be , be
cause , cause
of , of
thole , those
perfumes , perfumes
I , I
sent , sent
was , was
admitted , admitted
to , to
liaue , @haue
one , one
which , which
he , he
lo , so
highly , highly
esteemed , esteemed
I , I
could , could
not , not
at , at
any , any
rate , rate
purchase , purchase
it , it
from , from
him , him
although , although
I , I
made , made
him , him
ofersofmore , o@ersofmore
then , then
I , I
meant , meant
to , to
giuc , giue
This , This
Assembly , Assembly
held , held
forthe , forthe
space , space
of , of
ten , ten
dayes , dayes
with , with
a , a
continuall , continuall
recourseof , recourseof
comming , comming
and , and
going , going
but , but
not , not
altogether , altogether
for , for
the , the
burials , buriall
of , of
the , the
dead , dead
lot , for
after , after
certayne , certayne
dayes , dayes
were , were
spent , spent
in , in
the , the
celebrating , celebrating
of , of
his , his
Obsequies , Obsequies
then , then
beganne , beganne
a , a
great , great
folemnitieTKeinustine , solemnitie@@@@@@@@@@@
or , or
the , the
cstablisbitig , establishi@ng
and , and
inuesting , inuesting
of , of
his , his
eldest , eldest
lonncftheeldest , sonn@@@@@@@@e@@
in , in
his , his
place , place
and , and
dignitie , dignitie
whereunto , whereunto
came , came
agaynelomrcinthe , agay@@@@@@@@n@@e
many , many
giftsand , giftsand
presents , presents
amongst , amongst
those , those
thar , that
passedr , passed@
by , by
meI , meI
tookc , tooke
notice , notice
ot , of
a , a
great , great
Rammewhich , Rammewhich
was , was
carried , carried
betweene , betweene
two , two
bound , bound
fast , fast
and , and
jyd , ayd
vppon , vppon
a , a
hurdle , hurdle
In , In
the , the
whole , whole
time , time
I , I
was , was
in , in
the , the
Country , Country
IAKamroefor , I@@@@@@@@@@
neuer , neuer
saw , saw
any , any
Ramme , Ramme
or , or
Shecp@ , Sheepe
but , but
that , that
whicharnc , which@@@@
was , was
brought , brought
very , very
farre , farre
Iris , @his
woofmight , woo@might
more , more
pro , pro
perly , perly
be , be
called , called
haireic , haireit
was , was
ofthat , ofthat
hardnesseil , hardnesse@d
did , did
vnderstand , vnderstand
by , by
my , my
Marybucke , Marybucke
lie , @he
was , was
to , to
be , be
vsed , vsed
after , after
some , some
manner , manner
of , of
sacrifce , sacri@ce
and , and
I , I
vnderstood , vnderstood
like@wise , likevvise
that , that
in , in
their , their
high , high
Priesthood , Priesthood
the , the
sonne , sonne
luccceded , succeeded
the , the
lather , father
this , this
course , course
is , is
held , held
amongst , amongst
their , their
Religious , Religious
orders , orders
wherein , wherein
they , they
difer , di@er
from , from
the , the
temporall , temporall
gouerments , gouerments
