ANENGLISHANTHOLOGYBK , @@@@@@@@@@@@@@@@@@@@
A , A
hollow , hollow
wind , wind
did , did
seem , seem
to , to
answer , answer
No , No
Go , Go
seek , seek
elsewhere , elsewhere
I , I
did , did
and , and
going , going
did , did
a , a
rainbow , rainbow
note , note
Surely , Surely
thought , thought
I , I
This , This
is , is
the , the
lace , lace
of , of
Peaces , Peaces
coat , coat
I , I
will , will
search , search
out , out
the , the
matter , matter
But , But
while , while
I , I
looked , looked
the , the
clouds , clouds
immediately , immediately
Did , Did
break , break
and , and
scatter , scatter
Then , Then
went , went
I , I
to , to
a , a
garden , garden
and , and
did , did
spy , spy
A , A
gallant , gallant
flower , flower
The , The
crown , crown
imperial , imperial
sure , sure
said , said
I , I
Peace , Peace
at , at
the , the
root , root
must , must
dwell , dwell
But , But
when , when
I , I
digged , digged
I , I
saw , saw
a , a
worm , worm
devour , devour
What , What
showed , showed
so , so
well , well
At , At
length , length
I , I
met , met
a , a
reverend , reverend
good , good
old , old
man , man
Whom , Whom
when , when
for , for
Peace , Peace
I , I
did , did
demand , demand
he , he
thus , thus
began , began
There , There
was , was
a , a
Prince , Prince
of , of
old , old
At , At
Salem , Salem
dwelt , dwelt
who , who
lived , lived
with , with
good , good
increase , increase
Of , Of
flock , flock
and , and
fold , fold
He , He
sweetly , sweetly
lived , lived
yet , yet
sweetness , sweetness
did , did
not , not
save , save
His , His
life , life
from , from
foes , foes
But , But
after , after
death , death
out , out
of , of
his , his
grave , grave
There , There
sprang , sprang
twelve , twelve
stalks , stalks
of , of
wheat , wheat
Which , Which
many , many
wondering , wondering
at , at
got , got
some , some
of , of
those , those
To , To
plant , plant
and , and
set , set
It , It
prospered , prospered
strangely , strangely
and , and
did , did
soon , soon
disperse , disperse
Through , Through
all , all
the , the
earth , earth
For , For
they , they
that , that
taste , taste
it , it
do , do
rehearse , rehearse
That , That
virtue , virtue
lies , lies
therein , therein
A , A
secret , secret
virtue , virtue
bringing , bringing
peace , peace
and , and
mirth , mirth
By , By
flight , flight
of , of
