t , @
@@ , ou
stayers , prayers
for , for
th , th
continuance , continuance
of , of
such , such
freedom , freedom
if , if
not , not
for , for
our , our
own , own
fakes , sakes
at , at
least , least
for , for
the , the
consola , consola
tion , tion
of , of
the , the
rest , rest
of , of
the , the
world , world
which , which
heaven , heaven
has , has
thought , thought
ft , @t
to , to
deprive , deprive
of , of
so , so
great , great
a , a
felicity , felicity
One , One
cannot , cannot
make , make
a , a
refection , re@ection
here , here
that , that
our , our
ancestors , ancestors
in , in
their , their
roughhewn , roughhewn
age , age
without , without
to , to
any , any
smoothness , smoothness
of , of
manners , manners
though , though
they , they
felt , felt
themselves , themselves
restrained , restrained
by , by
that , that
sacred , sacred
horrqr , horror
with , with
which , which
they , they
regarded , regarded
all , all
Precedent , Precedent
from , from
presuming , presuming
to , to
bring , bring
about , about
any , any
reformation , reformation
in , in
the , the
laws , laws
they , they
found , found
ready , ready
made , made
to , to
their , their
hands , hands
particularly , particularly
those , those
relative , relative
to , to
my , my
im , im
mediate , mediate
subject , subject
yet , yet
took , took
care , care
to , to
build , build
so , so
many , many
Cities , Cities
of , of
refuge , refuge
against , against
the , the
pursuers , pursuers
that , that
it , it
is , is
hard , hard
to , to
conceive , conceive
how , how
any , any
body , body
could , could
fall , fall
their , their
victim , victim
Besides , Beffdes
the , the
protections , protections
granted , granted
with , with
out , out
stint , stint
of , of
numbers , numbers
by , by
the , the
sovereign , sovereign
all , all
peers , peers
members , members
of , of
parliament , parliament
particular , particular
magistrates , magistrates
the , the
verge , verge
of , of
every , every
palace , palace
and , and
palaces , palaces
couldnot , couldnot
fail , fail
of , of
being , being
numerous , numerous
while , while
a , a
splendid , splendid
house , house
was , was
enough , enough
to , to
prove , prove
its , its
posseilbr , possessor
a , a
traitor , traitor
besides , beffdes
the , the
asylum , asylum
of , of
churches , churches
and , and
convents , convents
they , they
granted , granted
immunities , immunities
to , to
certain , certain
places , places
of , of
which , which
the , the
Fleet , Fleet
remained , remained
the , the
last , last
instance , instance
in , in
our , our
time , time
Every , Every
one , one
of , of
these , these
have , have
been , been
ex , ex
tinguisiied , tinguis@hed
oneafter , oneafter
another , another
in , in
contragradation , contragradation
to , to
the , the
advancement , advancement
humanity , humanity
was , was
making , making
among , among
us , us
And , And
the , the
days , days
the , the
most , most
polished , polished
by , by
com , com
passon , pa@@on
and , and
benefcence , bene@cence
have , have
proved , proved
the , the
only , only
days , days
in , in
which , which
law , law
has , has
been , been
permitted , permitted
to , to
