@me , HIG
@@@@@@O , GERMANY
I , I
@@IF , will
@@I , buy
HAD , you
A , a
@Wise , horse
@tat , ifmy
woul@@@d , Pollycan
love , ride
@@I , And
@a@@m , manya
lo@@nesom , longnight
forl@orn , willmarc
and , @by
dejcted , herside
Thre , Well
@@i@s , drink
no , at
@@@@@@so , alehouse
wretced , thateer
as , we
@@me@@@@ , comenigh
@BuiI , Andel
@ha@@d , travel
aife , othe
tha@ , road
could , sweet
lo@ve , Polly
@@@e , andI
Like , Down
@a , in
sand@@ , yonder
@@@boy , valley
@so , Ill
ha@@ppy , makefor
@@Id , hima
be@ , bed
@@Wth@ , Andthe
thebest , swetest
of@@@@@ , ofroses
@@all , shall
@@ai@@@@@@@@@@nt@@i@es , behiscoverletWithpinks
Id , ad
treat , sweet
@@@her , violet
I , I
woul@d@@@ , willadorn
@@@ove@ , hisfeet
@her@ , Where
@by , the
nigh@t , fishes
and , are
@byday , chamed
@@I , the
would , music
neer , isso
abusehor , @@swetoe
bet@ , beto
@he@@r , thewar
@Takher , thatver
nig@h , began
to@ , For
thelay , thehav
@@@@@Oh , pressed
@ , m
@i@@f , Billy
@@ , an
ha@d , many
a , a
@wife@ , clever
@th , man
wo@@uld , Forthey
love , have
@@@@me , presse
So , my
@@joyul , Billyno
@and , more
@ha@py , shallI
Id , hm
@be , see
A@@ , And
go@o@d@@ , socoldis
temer@@e@d , hisgravein
wife , High
blesing , Thedrum
Oh , th
Provdecefind , beatiscoered
oneorme , witgren
Oh@ , The
ifI , ety
ha@@d , lambs
a , a
@@@@wife , sporting
@@thatwould , muchplasure
love , tobe
@me@@@@ , seenMay
She , the
@@@@s@@@h@@@@@ould , birdsonthebranches
find@@ , hinder
me , my
bo@@@@@@th@ , downfallThe
@and , love
@kind , griev
@ , m
w@@@@o@@ul@@@@@@@ , worstofallHDISLEY
@clot@@ , Printer
@@@h@@@@e@ , HighStreet
@i , St
silks , Giles
@and@@@@@@@@@@@@ , LondonOHIIFIHADA
@i@n , Wife
@sat@@@@@ins , thatwouldlov
An , me
@uy , Iam
@@@@@@he@@@@@r@ , lonesomeforlorn
@@cr@i@noine , Thereisnoone
@ , s
AJac@@k , wetched
@@heard , asmeBut
@ht , ifI
and , had
a , a
@@fe@@at@her , wifethatcoul
@@@A , love
@@stle , meLike
big , boy
as , so
@a@@@ , happy
@dra , Idbe
AP , th
Yes , bes
Iwuld , @fall
adornher , @dainies
fr , Id
@@e@@ver , treather
And , uld
nurse , @love
her , her
by , by
night , night
and , and
by , by
day , day
I , I
would , would
@@@@@a@@ke , neverabuse
her , her
to , or
b@a@lls , beather
routs , @Take
and , her
raceAnd , eachght
trethewit , t@othelay
bii@s , OhifI
and , had
aleWe , a@@fe
sohappy , @@ha@@t
would , would
@@be , love
@i , me
@o@urpla@csAs , Sojoyulandhpy
te , Id
Prcand , beAood
thePr@icess , temeredwife
of , is
@ale@s@@@ , ablessing
@I , Oh
lo@@@@n@e@@@@ome@@ , rovidencefindonefo
c , e
A , A
man , man
that , that
is , is
single , single
is , is
moping , moping
Oft , Oft
into , into
bad , bad
company , company
led , led
At , At
nigbt , night
in , in
the , the
dark , dark
he , he
goes , goes
groping , groping
And , And
can , can
scarce , scarce
find , find
the , the
way , way
to , to
his , his
bed , bed
But , But
if , if
he , he
had , had
a , a
wife , wife
to , to
delight , delight
him , him
A , A
far , far
different , different
subject , subject
hed , hed
be , be
Away , Away
to , to
his , his
bed , bed
she , she
would , would
light , light
him , him
A , A
woman , woman
dear , dear
woman , woman
for , for
me , me
Some , Some
men , men
are , are
not , not
worthy , worthy
a , a
woman , woman
They , They
dont , dont
know , know
how , how
to , to
use , use
a , a
good , good
wife , wife
Oh , Oh
Providence , Providence
grant , grant
me , me
one , one
favour , favour
It , It
would , would
make , make
me , me
happy , happy
for , for
life , life
I , I
know , know
many , many
men , men
who , who
are , are
married , married
Oft , Oft
to , to
kick , kick
up , up
a , a
row , row
will , will
begin , begin
Only , Only
because , because
the , the
dear , dear
creatures , creatures
Has , Has
taken , taken
a , a
