@@@@@@AN@@@ , CXVIIIONHIS
@E@NG@@LI@SH , BEINGARRIVED
A@TH@@@@O@@@LOGY , ATTHEAGEOFTWENTY
@@BK , THEE
I@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@I , InCowleywhentenyearsofagehadwrittenPyramusandThisbeanethicalromance
@@@@@@@@@@@@@@@@@@@@@ , AnonymousMiltonSonnet
A , A
suit , suit
of , of
durance , durance
let , let
it , it
be , be
For , For
all , all
weathers , weathers
that , that
for , for
me , me
For , For
the , the
land , land
or , or
for , for
the , the
sea , sea
Lasting , Lasting
evermore , evermore
Winters , Winters
cold , cold
or , or
summers , summers
heat , heat
Autumns , Autumns
tempests , tempests
on , on
it , it
beat , beat
It , It
can , can
never , never
know , know
defeat , defeat
Never , Never
can , can
rebel , rebel
Such , Such
the , the
love , love
that , that
I , I
would , would
gain , gain
Such , Such
the , the
love , love
I , I
tell , tell
thee , thee
plain , plain
Thou , Thou
must , must
give , give
or , or
woo , woo
in , in
vain , vain
So , So
to , to
thee , thee
farewellAnonymousCXVIIIONHISBEINGARRIVEDAT , farewell@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
THEAGEOFTWENTYTHREEHow , @H@@@@O@@W@@@@@@@@@@@@
soon , soon
hath , hath
Time , Time
the , the
subtle , subtle
thief , thief
of , of
youth , youth
Stolen , Stolen
on , on
his , his
wing , wing
my , my
threeandtwentieth , threeandtwentieth
year , year
My , My
hasting , hasting
days , days
fly , fly
on , on
with , with
full , full
career , career
But , But
my , my
late , late
spring , spring
no , no
bud , bud
or , or
blossom , blossom
sheweth , sheweth
Perhaps , Perhaps
my , my
semblance , semblance
might , might
deceive , deceive
the , the
truth , truth
That , That
I , I
to , to
manhood , manhood
am , am
arrived , arrived
so , so
near , near
And , And
inward , inward
ripeness , ripeness
doth , doth
much , much
less , less
appear , appear
That , That
some , some
more , more
timelyhappy , timelyhappy
spirits , spirits
endueth , endueth
Yet , Yet
be , be
it , it
less , less
or , or
more , more
or , or
soon , soon
or , or
slow , slow
It , It
shall , shall
be , be
still , still
in , in
strictest , strictest
measure , measure
even , even
To , To
that , that
same , same
lot , lot
however , however
mean , mean
or , or
high , high
Toward , Toward
which , which
Time , Time
leads , leads
me , me
and , and
the , the
will , will
of , of
Heaven , Heaven
All , All
is , is
if , if
I , I
have , have
grace , grace
to , to
use , use
it , it
so , so
As , As
ever , ever
in , in
my , my
great , great
TaskMasters , TaskMasters
eyeMilton , eye@@@@@@
Sonne , @@@@@
InCowleywhentenyearsofageha , I@@@@@@@@@@@@@@@@@@@@@@@@@I
written , @@@@@AN
Pyramus , ENGLISH
