@@@@ , What
I , I
am , am
thus , thus
meane , meane
imprisoned , imprisoned
And , And
cause , cause
I , I
late , late
so , so
highly , highly
fed , fed
In , In
such , such
a , a
hellish , hellish
nasty , nasty
bed , bed
I , I
must , must
lie , lie
And , And
drink , drink
my , my
drinke , drinke
as , as
in , in
some , some
places , places
They , They
eat , eat
their , their
porridgewith , porridgewith
their , their
faces , faces
For , For
heres , heres
no , no
cuppsnor , cuppsnor
canns , canns
nor , nor
glasses , glasses
And , And
liquor , liquor
If , If
that , that
you , you
tooke , tooke
it , it
from , from
the , the
shoare , shoare
Where , Where
men , men
doe , doe
piste , pisse
and , and
somewhat , somewhat
more , more
It , It
caimot , ca@not
be , be
I , I
will , will
be , be
swore , swore
Much , Much
thicker , thicker
O , O
hard , hard
misfortune , misfortune
of , of
just , just
fate , fate
O , O
Oxford , Oxford
Johns , Johns
O , O
Oxford , Oxford
ICates , @Kates
Wouid , Would
I , I
were , were
now , now
at , at
any , any
Rates , Rates
A , A
licking , licking
The , The
dislies , dis@hes
where , where
I , I
and , and
my , my
Trollups , Trollups
Did , Did
use , use
to , to
feast , feast
it , it
in , in
Scotch , Scotch
Collnps , Collups
Which , Which
I , I
last , last
night , night
did , did
vomit , vomit
all , all
up , up
None , None
sticking , sticking
Not , Not
by , by
the , the
way , way
so , so
that , that
the , the
rellish , rellish
Of , Of
all , all
your , your
dishes , dishes
rare , rare
embellish , embellish
Is , Is
changd , changd
to , to
maukish , maukish
tast , tast
and , and
hellish , hellish
I , I
am , am
choaked , choaked
With , With
base , base
Tobacco , Tobacco
stinks , stinks
and , and
Salt , Salt
That , That
lookes , lookes
as , as
black , black
as , as
sootie , sootie
Mault , Mault
With , With
every , every
thing , thing
I , I
just , just
fault , fault
Provoked , Provoked
And , And
now , now
I , I
must , must
to , to
Sermon , Sermon
too , too
Which , Which
I , I
must , must
hear , hear
for , for
I , I
cant , cant
doe , doe
To , To
passe , passe
the , the
time , time
while , while
hees , hees
ith , ith
pew , pew
As , As
others , others
Who , Who
both , both
in , in
Hopfins , Hopkins
and , and
wpPsalmes , inPsalmes
Have , Have
never , never
any , any
Conscience , Conscience
qualmes , qualmes
But , But
have , have
their , their
Por , Po@
and , and
pipes , pipes
in , in
Palmes , Palmes
fid , @nd
Smother , Smother
Sunday , Sunday
wor , mor
@@n@ , ning
Sep , Sep
