para , Pars
HOrastuafoz , Adrastusfor
Dabateffe , dekenesse
of , of
the , the
npgf , nyg@
jito , @@ro
lis , @is
djamtnctDitf , chambre@wit@
manp , many
toufyte , torches
Ipgbt , lyght
o , o
tbe , the
co@mtc@w , courteis
DefernoeD , de@scnded
ootbtie , do@@wne
ztU , All
bis , his
mapticstonopngc , ma@ynestondynge
enu@provtnc , enuypro@wne
iOt , @Of
these , these
hnpgbceobaupng , knyghteshauyng
full , full
grete , grete
ttoimorr , @wounder
lno , And
of , of
manboDcbe , manhodehe
putte , putte
bett , he@@
fpist , fyrst
jicu , @@He
eommaunDpnglphe , commaundynglyke
a , a
gentpll , gentyll
bpng , kyng
Co , To
leue , leue
@ba , her
strpteanD , stryteand
ccleu , cesen
ot , of
jct , her
fpgbtpng , fyghtyng
@n@meo , entred
itMtl , inwit
a , a
bnpgjjtlp , knyg@htly
tahe , loke
Buo , And
sprit , fyrst
fion , fro@
bettjbei , he@@mher
@toaceo , swerdes
both , both
be , he
fobc , toke
zifrrmpng , @@Aermyng
to , to
bio , his
fantafpe , fantasye
St , It
voao , @was
a , a
tagcatiD , ragea@nd
a , a
gitte , grete
folpe , folye
oo , oo
Tttflfullpla , @@@wlfullyhr
Ipuco , syues
to , to
tu , in
parse , parte
bulOiitc , @@ihoute
Ing@bri , Jugeher
quarelt , quarell
to , to
Departc , departe
flnD , @And
speepailpuj , specyallyin
tbe , the
actbe , @deke
itobai , @@Wha@
neptbet , neyther
of , of
osbermpgbf , othermyght
bauc , haue
a , a
spgbt , syght
Cbavgpng , Chargyng
bcitjoo , @@hemon
papnc , payne
of , of
her , her
Ipfe , lyfe
Co , To
oesure , desure
atD , a@d
Ityntcn , stynten
of , of
of , of
tjer , @her
strpfc , stryfe
Cpocuoiu , Tydeusin
all , all
the , the
baste , haste
be , he
mpgbf , myght
jfall , @Full
bumblpfro , humblefro
bis , his
steoe , stede
a , a
Ipgljt , lyg@ht
jelno , @@And
ttgbr , right
mcbelptottb , mekely@with
cbcrc , chere
contcttasee , cont@ena@ce
putte , Putte
bpnj , @hym
bolt , hole
tu , in
gou@anatce , gouerna@ce
f , f
Hovastusi , Adrastusi
all , all
manes , maner
tbrng , thyng
Hud , And
polpmpfcmaDc , Polymytemade
cbe , eke
noo , noo
tarreng , taryeng
Co , To
a , a
alloanD , alsoand
tbolOe , @wolde
it , it
not , not
bUlscpe , witseye
bpngeo , kynges
bpDDpnglotolp , byddynglo@wly
so , to
obepe , obeye
oo , oo
ao , as
lnun , @hym
ougbttbitb , ought@with
Due , due
itucrcnce , reuerence
Sno , And
as , as
sto@Dbotb , stodeboth
to , in
@b , hi
