JcademitiScientiarnm , @@@@@@@@@@@@@@@@@@@@
Sectio , Sectio
Trigesima , Trigeffma
prima , prima
TrigonometricReililineTRigonometria , T@@@@@@@@@r@@@@@@@@@@@@@igonometria
Linea , Linea
recta , recta
est , est
brevistima , brevisffma
duointerextretnaiViaDpo , du@@@@@@@@@@@@@@@@@@@@o
ipter , inter
extremaunicatantum , extrem@@@@@@@a@@@@
Du , Du
rect , rect
nequeunt , nequeunt
fe , se
invieem , invicem
ni , ni
si , ff
in , in
puncto , puncto
Angulum , Angulum
metiuntur , metiuntur
gradus , gradus
angu , angu
lus , lus
rectus , rectus
est , est
angulps , angulus
graduum , graduum
acutus , acutus
angulus , angulus
graduum , graduum
pauciorum , pauciorum
angulus , angulus
obtuius , obtusus
plures , plures
nonaginta , nonaginta
gra , gra
dibus , dibus
gradus , gradus
continet , continet
Linea , Linea
in , in
aliam , aliam
utrimque , utrimque
incidens , incidens
ex , ex
quo , quo
Perpendicularis , Perpendicularis
dicitur , dicitur
utrimque , utrimque
rectos , rectos
angulos , angulos
constitu@@@@@@@@@@@@@@@@i@r@@ , constituitAcademiaScientiarum
N@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@ , NDuointerextremaunicatantumducipotest
