lAST , LAST
NIGHT , NIGHT
of , of
thePOMPA@Wg , theCOMPANYs
Performing , Performing
@mtUl , until
the , the
HolidaysTheatreRoyal , Holidays@@@@@@@@@@@@
Drar , @@@@
Cotnmafidant , Co@mma@ndant
of , of
Innspruck , Innspruck
Mr , Mr
THOMPSON , THOMPSON
Coieiiel , Co@lonel
Donner , Donner
Mr , Mr
BLAND , BLAND
Herr , Herr
Stetten , Stetten
Circle , Circle
Captain , Captain
of , of
the , the
District , District
Mr , Mr
WEBSTER , WEBSTER
TyroleseAndreas , TyroleseAndreas
HoferMr , HoferMr
H , H
PHILLIPS , PHILLIPS
Father , Father
Joachim , Joachim
Haspiugef , Haspinger
a , a
Capuchin , Capuchin
Mr , Mr
BEDFORD , BEDFORD
Gottlieb , Gottlieb
a , a
substantial , substantial
Farmer , Farmer
in , in
the , the
Pustettkal , Pusterthal
Mr , Mr
ARNOLD , ARNOLD
Walther , Walther
young , young
Peasant , Peasant
of , of
the , the
homer , Lower
Innthall , Innthall
Mr , Mr
SINCLAIR , SINCLAIR
Stephen , Stephen
Mr , Mr
TAYLEURE , TAYLEURE
Karl , Karl
Gottliebs , Gottliebs
Sen , Son
Miss , Miss
CHIKINi , CHIKINI
Bertha , Bertha
Gottliebs , Gottliebs
Daughter , Daughter
Miss , Miss
PEARSON , PEARSON
Josephine , Josephine
Nrgretti , Negretti
her , her
Cousin , Cousin
a , a
native , native
of , of
BeliiniO , Bellun@o
Miss , Miss
RUSSLL , RUSSLL
Margsrretta , Marg@aretta
K@@Mtrin , Kellerin
of , of
a , a
Tavern , Tavern
Mrs , Mrs
NEWCOMBB , NEWCOMBE
Principal , Principal
DancersMisses , DancersMisses
BARMfrir , BAR@NETT
Basisr , B@ASEE
BalLTR , BALLIN
LIdia , LIDIA
MHekrv , MHENRY
Lane , LANE
c , c
c , c
In , In
tte , the
c@tSnt , course
Of , of
the , the
Evening , Evening
th , th
BAND , BAND
will , will
perform , perform
Rossinis , Rossinis
Overture , Overture
to , to
GUILLAUME , GUILLAUME
TELL , TELL
G , G
Onslows , Onslows
Overture , Overture
to , to
iALCADE , LALCADE
de , de
la , la
VEGA , VEGA
And , And
C , C
M , M
Von , Von
Webers , Webers
Overture , Overture
to , to
DEB , DER
PHEISOHUTZ , FREISCHUTZ
To , To
which , which
will , will
be , be
addedsixth , addedSIXTH
time , TIME
A , A
NEW , NEW
FARCE , FARCE
In , in
Acts , Acts
calle@@@@@@@@@@@d@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@ , calledHighWaysandByWaysCharlesStapletonMrJVININGNarcissusStubbleMrLISTON
James , James
Mr , Mr
YARNOLD , YARNOLD
Robert , Robert
Mr , Mr
EATON , EATON
John , John
Mr , Mr
S , S
JONES , JONES
Eliza , Eliza
Gordon , Gordon
Miss , Miss
PHILLIPS , PHILLIPS
Miss , Miss
Primly , Primly
Mrs , Mrs
C , C
JONES , JONES
Miss , Miss
Susar , Susan
Plat , Plat
Mrs , Mrs
ORGER , ORGER
Housemaid , Housemaid
Mrs , Mrs
WEBSTER , WEBSTER
To , To
conclude , conclude
with , with
AUBERs , AUBERs
Grand , Grand
Opera , Opera
of , of
MASANIELLO , MASANIELLO
Masaniello , Masaniello
a , a
Neapolitan , Neapolitan
Fisherman , Fisherman
Mr , Mr
SINCLAIR , SINCLAIR
Don , Don
Alphonso , Alphonso
