yrn , @en
and , and
written , written
but , but
reasoM , reason
of , of
State , State
goes , goes
beyond , beyond
all , all
particular , particular
formes , formes
and , and
pacts , pacts
and , and
looks , looks
rather , rather
ro , to
tlie , t@he
being , being
then , then
wellbeing , wellbeing
ofa , ofa
State , State
and , and
seeks , seeks
to , to
prevent , prevent
mifchiefeforraign , mischiefeforraign
as , as
well , well
as , as
Domestickby , Domestickby
emer , emer
gent , gent
Counselsand , CounseIsand
unwritten , unwritten
resolutions , resolutions
Reason , Reason
ofStateisfomething , ofStateissomething
more , more
sublime , sublime
and , and
imperiaJl , imperiall
then , then
Law , Law
it , it
may , may
be , be
rightly , rightly
said , said
that , that
the , the
Statesman , Statesman
begins , begins
where , where
the , the
Lawyer , Lawyer
ceaseth , ceaseth
for , for
when , when
warre , warre
ced , ced
Law , Law
as , as
it , it
often , often
does , does
Policy , Policy
is , is
to , to
bee , bee
observed , observed
as , as
the , the
only , only
true , true
Law , Law
a , a
kindpfadictatorian , kindofadictatorian
power , power
is , is
to , to
be , be
allowed , allowed
to , to
he@ , her
whatfoc , whatsoe
ever , ever
has , has
any , any
right , right
to , to
defend , defend
it , it
seise , selfe
in , in
timeofdangeristo , timeofdangeristo
resort , resort
to , to
po , po
licy , licy
in , in
stead , stead
of , of
Law , Law
and , and
it , it
is , is
the , the
fame , same
thing , thing
in , in
the , the
Replicant , Replicant
To , To
deny , deny
to , to
Parliaments , Parliaments
recourse , recourse
to , to
reason , reason
ofState , ofState
in , in
these , these
miserable , miserable
times , times
of , of
warre , warre
and , and
danger , danger
as , as
to , to
deny , deny
themselfdefence , themselfdefence
Many , Many
menefpeciallyLawyerswould , menespeciallyLawyerswould
fain , fain
have , have
Law , Law
alone , alone
take , take
place , place
in , in
all , all
times , times
but , but
for , for
my , my
part , part
I , I
think , think
it , it
equally , equally
destructive , destructive
to , to
renounce , renounce
reason , reason
of , of
Stateand , Stateand
adhere , adhere
to , to
Law , Law
in , in
timesofgreat , timesofgreat
extremity , extremity
as , as
to , to
re , re
nounce , nounce
Law , Law
adhere , adhere
to , to
Policy , Policy
in , in
times , times
of , of
tranquiJityNothing , tranquilityNothing
hac , has
done , done
us , us
more , more
harme , harme
of , of
late , late
then , then
this , this
opinion , opinion
of , of
adhering , adhering
to , to
Law , Law
only , only
for , for
our , our
preservation , preservation
the , the
King , King
and , and
his , his
party , party
though , though
they , they
are , are
too , too
wile , wise
themselves , themselves
to , to
observe , observe
Law , Law
at , at
allyet , allyet
have , have
wrought , wrought
much , much
upon , upon
the , the
sim , ffm
pler , pler
sort , sort
of , of
our , our
side , ffde
by , by
objecting , objecting
against , against
us , us
neglect , neglect
of , of
Law , Law
Certainly , Certainly
as , as
our , our
dangers , dangers
now , now
are , are
it , it
wouldbcc , wouldbee
good , good
for , for
ustoadde , ustoadde
more , more
power , power
to , to
the , the
Earle , Earle
of , of
EJsex , Essex
if , if
he , he
be , be
thought , thought
the , the
worthiest , worthiest
man , man
of , of
Trust , Trust
a , a
raongst , @mongst
usas , usas
he , he
has , has
deserved , deserved
no , no
Jesse , lesse
estimation , estimation
for , for
till , till
see , see
him , him
lookc , lookt
upon , upon
and , and
served , served
as , as
a , a
temporary , temporary
Dictator , Dictator
and , and
the , the
bounds , bounds
of , of
his , his
Com , Com
misson , mi@@on
to , to
bee , bee
only , only
this , this
ne , ne
quid , quid
detrimenti , detrimenti
capiat , capiat
Respuklica , Respublica
cavere , cavere
I , I
@Hull , shall
never , never
think , think
the , the
Parliaments , Parliaments
safety , safety
suffciently , su@@ciently
provided , provided
for@ , forC
To , To
frame , frame
any , any
Arguments , Arguments
or , or
reasonsor , reasonsor
toftr , tooer
proofesthat , proofesthat
the , the
Re , Re
presentative , presentative
body , body
of , of
the , the
Kingdome , Kingdome
is , is
a , a
Counsel , Counsel
of , of
State , State
rather , rather
then , then
a , a
Court , Court
of , of
Justice , Justice
would , would
strew , s@hew
me , me
as , as
foolish , foolish
as , as
the , the
Replicant , Replicant
ti , ti
im , im
possble , po@@ble
any , any
man , man
stiottld , s@ho@uld
doubt , doubt
of , of
it , it
that , that
does , does
think , think
the , the
being , being
is , is
to , to
bee , bee
preferred , preferred
beforethe , beforethe
well , well
being , being
or , or
that , that
whole , whole
Nations , Nations
have , have
any , any
in , in
terests , terests
either , either
in , in
their , their
owne , owne
being , being
or , or
well , well
being , being
Let , Let
our , our
Adversaries , Adversaries
triumph , triumph
in , in
their , their
owne , owne
conceits , conceits
and , and
when , when
in , in
thesemecase , thesamecase
there , there
is , is
both , both
tnatterofLaw , @matterofLaw
andtate , andtate
asinthecaseof , asinthecaseof
Hull , Hull
wheretheKinghadan , wheretheKinghadan
interest , interest
rather , rather
in , in
State , State
then , then
La@ , Law
let , let
them , them
upbraid , upbraid
us , us
for , for
declining , declining
of , of
Law , Law
I , I
shall , shall
like , like
that , that
best , best
which , which
they , they
dislike , diflike
most , most
in , in
us , us
Iwish , Iwish
we , we
hadnot , hadnot
observed , observed
Law , Law
too , too
farre , farre
for , for
they , they
would , would
never , never
so , so
farr , farr
rcaomCa , recom@@
