pLiirjiNG , @SADHUSNG
rjscuESnochildrenrnmiTir , @@@@RES@@@@@@@@@@@@@@@UE
crper , @@@IS
VVANIREXETKEGIXA , @@CHI@@@@LRE@@@@
KoMwiejrtobeBfjiDetlJ , FRM@@@@@@@@@@@@@@@@@@
TSistirPij , AS@@@@@P@@
TWO , TWO
A , A
constrictors , CONSTRICTORS
SADHUSING , SADHUSING
DEFENDED , DEFENDED
V , Y
TWO , TWO
LIONS , LIONS
against , against
a , a
body , body
of , of
INDIANSactsiiand , INDIANS@@@@@@@@@
mSceneJ , AS@@@@@
The , @II
TentofHyderAllswfid , @an@@@@@@@@@@@@@@@d
SemeTilGALLEYoftllOFELXCLSTStanileld , @@@I@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
AVITIt , @WIT@H
THE , THE
ARRIVAL , ARRIVAL
OF , OF
HYDER , HYDER
ALI , ALI
KHAN , KHAN
ON , ON
@mm , HIS
STATE , STATE
ELEPHANT , ELEPHANT
FOR , FOR
THE , THE
DIVERSION , DIVERSION
OF , OF
A , A
TIGER , TIGER
HUNT , HUNT
Tlie , T@he
RISING , RISING
of , of
the , the
PAltlARSAttack , PA@RIARSAttack
upon , upon
Hyder , Hyder
Alinui , Alin@d
Defeat , Defeat
of , of
Sadluising , Sadhu@sing
PALAGE , PALACE
of , of
the , the
SULTAN , SULTAN
from , from
the , the
GARDENS , GARDENS
stznfteld , Stan@@eld
Scene , Scene
TJXE , T@HE
JEEKsslL , @RE@NAAT
IKOTlBOS , @@MYSORE
Mrinari , Mrinari
IN , IN
WHICH , WHICH
IS , IS
EXHIBITED , EXHIBITED
A , A
Terrifc , Terri@c
Combat , Combat
with , with
Sadhusing , Sadhusing
a , a
Lion , Lion
@@@@Sene , HYDERALI
@ , a
@ , D
@@he , ONAN
@CURTAIN , ELEPHANT
@APARM@ENTin , THREEMILITRY
@@theALACE@ , BANDSSLAVES
@@ , BE
MatinarSceeg , PREENTSROMCN
@THE@ , STAES
Mar , @an
@@@Inari , ELEPHANT
@@WITH , Bodies
@A , of
@SPLENDIDRIUMPHAL , JahrejahsMahratta
PROCESON , Troopsth
THItHCHWIBE , PaiarTrbend
@NTRODUODTH , HuseholdGrd
TROOPS@@@ , SADHUSING
@O@@F , BORNE
