Qm , @@
tOsopgut , @as@@@@@
ITpDeus , @Tydeus
satbftufjac , sa@we@where
a , a
castell , castell
stooeguslonoc , stode@@@@@@@@
strange , Stronge
ano , and
opoo , vpon
a , a
xufjomefaste , @@whomefaste
Ijt , @he
gatj , ga@n
appocbe , appoche
clctcncssc , clerenesse
of , of
tje , the
stone , stone
cCbat , @That
bp , by
upgbtagapo , nyghtagayn
motte , mo@ne
lloue , @sone
iDU , @On
tlE , t@e
toYbicotuitb , to@wres@with
trestle , crestes
marcpall , marcyall
Uno , And
pnpngaUnoost , ynyngalmoost
so , to
the , the
urn , @@w
a , a
@proapnclptpll , gardaynelytyll
oute , oute
to , to
KbbomelTpocuo , @whome@Tydeus
gat , ga@
to , to
rpoe , ryde
f , f
auenturebp , auentureby
a , a
gate , gate
small , small
uD , nd
fbcic , there
be , he
fonnoefot , foundefor
to , to
reheo , reken
all , all
B , A
lustp , lusty
jibetbnfo , @rbervnto
bio , his
voctc , Swete
ano , and
ficffbclcbe , fresshelche
a , a
pataopse , paradyse
beucnlpof , heuenlyof
inlpeccpou , inspeccyon
Hno , And
sprite , fyrste
of , of
stllbe , @allhe
a , a
oouo , doun
IjCbc , @@The
gooolp , goodly
that , that
bcbcloe , behelde
ftoti , fro@@
Inn , his
ucbauopOcD , nekauoyded
batb , hath
lto , @is
TDtarac , @Dra@we
bio , his
bipocllfto , brydellfro
boisc , horse
beoe , hede
ctc , ete
bpn , @hy
goonano , goonand
tahe , take
uoo , noo
maner , maner
beoe , hede
lEbiugb , @Thrugh
tbe , the
gaioarotbat , gardaynthat
en@doseo , enclosed
raao , @was
flpnj , @@Hym
to , to
pststiueoo , p@astureon
tbe , the
gtenc , grene
grao , gras
lno , And
ICpDcuomoie , @Tydeusmore
bcup , heuy
tbao , than
to , is
Icoc , lede
tlc , t@e
bcrbcegtene , herbesgrene
rabpte , @whyte
ano , and
reoc , rede
Ho , As
bpn , @hy
tbougbtfbat , thoughtthat
tpmc , tyme
so , fo
tbe , the
beste , beste
ft , @e
lapoe , layde
bett , @@hy
ooranefoi , do@wnefor
to , to
bto , his
@wste , reste
racrpncfleocfproue , @werynessedesyrous
to , to
slepe , slepe
Hno , And
none , none
araaptebte , a@waytehis
boop , body
sot , for
to , to
bepe , kepe
ano , And
rastb , @with
oicmcsg@mtcbeD , dremesgrutched
euev , euer
