ASewMpndchdfaftretfaffmrdUHsusc , @@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
lives , lives
were , were
prolonged , prolonged
Now , Now
what , what
signeof , signeof
life , life
hall , hall
bee , bee
to , to
bee , bee
found , found
ofthe , ofthe
other , other
three , three
Monarchies , Monarchies
when , when
Antichrist , Antichrist
stall , shall
tee , bee
destroyeditis , destroyeditis
utterly , utterly
unimaginable , unimaginable
to , to
apprehend@@@@@@@ , apprehendDanIohn
Fiftly , Fiftly
and , and
which , which
is , is
much , much
agreeable , agreeable
to , to
the , the
former , former
they , they
conceive , conceive
that , that
ZXttwV , @Danie
prephecieth , prophecieth
of , of
Antichrist , Antichrist
of , of
whom , whom
hee , hee
fpeaketh , speaketh
not , not
one , one
word , word
nor , nor
treateth , treateth
of , of
any , any
particular , particular
times , times
or , or
stories , stories
ofthe , ofthe
Gospel , Gospel
but , but
onely , onely
holaeth , holdeth
out , out
that , that
ge , ge
rall , rall
prophecy , prophecy
which , which
all , all
the , the
Prophet , Prophet
did , did
with , with
one , one
consent , consent
of , of
the , the
calling , calling
ofthe , ofthe
Gentiles , Gentiles
and , and
ofChiists , ofChrists
glorious , glorious
kingdome , kingdome
among , among
them , them
in , in
the , the
Gofpeil , Gospell
For , For
ic , it
is , is
a , a
groundworke , groundworke
necessa , necessa
ry , ry
to , to
bee , bee
laid , laid
by , by
him , him
that , that
will , will
make , make
any , any
thing , thing
of , of
the , the
books , booke
of , of
Daniel , Daniel
and , and
of , of
the , the
Rtv@dati@c , Revelation
That , That
where , where
Daniel , Daniel
endeth , endeth
John , John
bsginneth , beginneth
and , and
goeth , goeth
no , no
further , further
back , back
and , and
where , where
John , John
beginneth , beginneth
@@ZWe@endeth , Danielendeth
and , and
goeth , goeth
no , no
further , further
forward , forward
For , For
Pie@heweth , @ielheweth
the , the
state , state
and , and
the , the
persecutors , persecutors
of , of
the , the
Church , Church
of , of
the , the
jewes , Jewes
from , from
the , the
building@bJerusalem , buildingofJerusalem
by , by
Cyrtu , Cyrus
to , to
the , the
de , de
struction , struction
of , of
it , it
by , by
Tit@w , Titus
and , and
hee , hee
goes , goes
no , no
further , further
And , And
there , there
where , where
the , the
beloved , beloved
Prophet , Prophet
concludeth , concludeth
the , the
beloved , beloved
Disciple , Disciple
be , be
ginneth , ginneth
and , and
taketh , taketh
at , at
him , him
in , in
this , this
booke , booke
and , and
soeweth , sheweth
the , the
state , state
and , and
the , the
persecutors , persecutors
of , of
the , the
Christian , Christian
Church , Church
from , from
the , the
de , de
struction , struction
of , of
Jertisa@km , Jer@usalem
to , to
the , the
end , and
of , of
thevorld , theworld
and , and
revealeth , revealeth
a , a
new , new
Jtrtifakmcamming , Jerusalemcomming
dovvne , do@wne
from , from
heaven , heaven
when , when
the , the
old , old
one , one
on , on
earth , earth
is , is
destroyed , destroyed
and , and
one , one
persecuting , persecuting
monarchy , monarchy
and , and
state , state
of , of
Rome , Rome
equalling , equalling
in , in
nstfchiefe , @mischiefe
and , and
crUclty , cruelty
against , against
the , the
Church , Church
all , all
the , the
foure , foure
that , that
had , had
g@@@@@@cr@@@@@@@@@@p@@@c@@@@@f@@@@@@@@@or@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@e@i@@@t@@@@@@@@@@ , gonebeforeitASermonpreachedbeforetheHonorableHouseUponthesesixfoundationsisthatopinionbuiltwhichinitselfeissoexceedingstrangeandye
@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@ , whichisasstrangeissoexceedinglyentertainedIleavetheballancesinyourhandstoweightheweightorthelightnesseofthemandnowcravea
Sixtly , Sixtly
and , and
lastlythey , lastlythey
hold , hold
that , that
Antichrist , Antichrist
hall , hall
bee , bee
de , de
stroyed , stroyed
before , before
theJewesthall , theJewesshall
bee , bee
called , called
which , which
is , is
not , not
onely , onely
not , not
to , to
be , be
proved , proved
by , by
any , any
Scripture , Scripture
throughout , throughout
all , all
the , the
Bi , Bi
ble , ble
bat , but
easily , easily
to , to
bee , bee
disproved , disproved
both , both
by , by
Scripture , Scripture
and , and
reason , reason
and , and
it , it
were , were
no , no
hard , hard
taske , taske
to , to
shew , shew
if , if
it , it
were , were
seasonable , seasonable
that , that
the , the
eleventh , eleventh
Chapter , Chapter
of , of
this , this
book , book
by , by
the , the
killing , killing
ofthe , ofthe
two , two
witnesses , witnesses
intendetlv , intendet@h
persecution , persecution
against , against
the , the
two , two
Churches , Churches
Jewes , Jewes
and , and
Gentileswhenthey , Gentileswhenthey
shall , shall
bee , bee
knit , knit
togetheratsheJewscallingsUponthesesixfoundationsis , together@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
thatopinion , @@at@@@@@@@
builtwhichinitseiseissoexceedingstrangeand , @@@@t@@@@h@@@@@@@@@@@@@@@@@@@@@@@@@@@@e@@@
yetwhichisasstrangejisso , Je@w@@@@@@@@@@@@@@@@@@s@
exceedinglyentertainedIleavetheballancesinyourhandstoWeightheweightorthelightnefleofthemandnowcravea , @@c@@@@@@@@@@@@@@@@@@@@@@@@@@@@@all@@@@@i@@@@@@@n@@@@@@@@@@@@@@@@@@@@@@@@@g@@@@@@@@@@@@@@@@@@@@@@@@@
