DOWNTEE , @@@@@@@
ISLAND , @@@@@@
terre , terre
on , on
the , the
southwestern , southwestern
shore , shore
After , After
the , the
massacre , massacre
of , of
the , the
Caribs , Caribs
an , an
act , act
of , of
brutal , brutal
barbarity , barbarity
which , which
Du , Du
Tertre , Tertre
calls , calls
a , a
glorious , glorious
victory , victory
the , the
settlers , settlers
were , were
troubled , troubled
no , no
more , more
by , by
the , the
natives , natives
and , and
the , the
French , French
and , and
English , English
colonists , colonists
remained , remained
at , at
peace , peace
with , with
one , one
another , another
cultivating , cultivating
the , the
fruitful , fruitful
soil , soil
and , and
increasing , increasing
in , in
wealth , wealth
and , and
numbers , numbers
Warner , Warner
and , and
DEsnambuc , DEsnambuc
returned , returned
each , each
to , to
his , his
own , own
country , country
Warner , Warner
was , was
knighted , knighted
in , in
receiving , receiving
the , the
appointment , appointment
to , to
the , the
Governorship , Governorship
of , of
St , St
Chris , Chris
topher , topher
and , and
came , came
again , again
that , that
year , year
to , to
the , the
island , island
accompanied , accompanied
by , by
four , four
hundred , hundred
new , new
recruits , recruits
DEsnambuc , DEsnambuc
who , who
being , being
taken , taken
under , under
the , the
patronage , patronage
of , of
Cardinal , Cardinal
Richelieu , Richelieu
was , was
joined , joined
by , by
more , more
than , than
five , five
hundred , hundred
emigrants , emigrants
put , put
to , to
sea , sea
in , in
February , February
with , with
his , his
expedition , expedition
in , in
ships , ships
so , so
poorly , poorly
equipped , equipped
and , and
provisioned , provisioned
that , that
many , many
of , of
the , the
company , company
perished , perished
miserably , miserably
during , during
the , the
voyage , voyage
for , for
want , want
of , of
food , food
The , The
survivors , survivors
were , were
kindly , kindly
received , received
by , by
the , the
English , English
settlers , settlers
for , for
they , they
took , took
pity , pity
on , on
the , the
Frenchmen , Frenchmen
in , in
their , their
wretched , wretched
plight , plight
and , and
gave , gave
them , them
such , such
provisions , provisions
as , as
could , could
be , be
spared , spared
from , from
their , their
own , own
scanty , scanty
store , store
thus , thus
the , the
people , people
of , of
the , the
two , two
nations , nations
for , for
many , many
years , years
lived , lived
amicably , amicably
together , together
on , on
their , their
island , island
home , home
In , In
the , the
reign , reign
of , of
Charles , Charles
I , I
during , during
his , his
war , war
with , with
the , the
Dutch , Dutch
France , France
having , having
declared , declared
for , for
the , the
latter , latter
the , the
French , French
settlers , settlers
in , in
St , St
Christopher , Christopher
unmindful , unmindful
of , of
past , past
favors , favors
drove , drove
the , the
Englishmen , Englishmen
from , from
their , their
settlement , settlement
The , The
exiles , exiles
thus , thus
unceremoniously , unceremoniously
driven , driven
away , away
by , by
their , their
ungrateful , ungrateful
neighbors , neighbors
were , were
however , however
restored , restored
to , to
their , their
homes , homes
and , and
lands , lands
by , by
the , the
Treaty , Treaty
of , of
Breda , Breda
During , During
the , the
Revolution , Revolution
in , in
England , England
the , the
French , French
pre , pre
tending , tending
to , to
espouse , espouse
the , the
cause , cause
of , of
the , the
abdicated , abdicated
king , king
expelled , expelled
the , the
Eng , Eng
lish , lish
a , a
second , second
time , time
from , from
St , St
Christopher , Christopher
and , and
remained , remained
for , for
nearly , nearly
a , a
year , year
sole , sole
masters , masters
of , of
the , the
island , island
This , This
action , action
on , on
their , their
part , part
is , is
alleged , alleged
to , to
have , have
been , been
one , one
of , of
the , the
causes , causes
that , that
induced , induced
William , William
and , and
Mary , Mary
to , to
de , de
clare , clare
war , war
against , against
Louis , Louis
XIV , XIV
In , In
General , General
Codrington , Codrington
Governor , Governor
of , of
Barbados , Barbados
on , on
receipt , receipt
of , of
the , the
news , news
of , of
the , the
Battle , Battle
of , of
the , the
Boyne , Boyne
fitted , fitted
out , out
an , an
armament , armament
to , to
capture , capture
St , St
Christopher , Christopher
In , In
this , this
adventure , adventure
all , all
the , the
English , English
islands , islands
joined , joined
The , The
expedition , expedition
consisted , consisted
of , of
three , three
thou , thou
sand , sand
armed , armed
men , men
of , of
which , which
number , number
seven , seven
hundred , hundred
were , were
English , English
