eercftl , Terc@ia
we , wi
nneCbebrstparlp , nneThebes@warly
asppe@@o , aspyedBy
bis , his
frenoesas , frendesas
be , he
voas , @was
certefpco , certefyed
pf , Of
tiC , t@e
hftlc , ke@le
tie , the
oiOpnaunce , ordynaunce
jsCf , @@er
purpos , purpos
cbeano , ekeand
her , her
Eno , And
tberof , therof
pao , had
to , in
tertea , @ertea
maner , maner
oreoe , drede
Eno , And
frste , frste
lc , @e
cobetns , tokehis
cotmse@pU , counseyll
ano , and
bis , his
reoe , rede
pf , Of
tlt , t@e
lozoesano , lordesand
of , of
the , the
barons , barons
of , of
t , t
coxoo , to@wn
End , And
of , of
tljc , t@he
tDpfestof , @wysestof
bis , his
rcgpoo , regyon
oo , Ho
be , he
mpgbiinkeo , myg@tmaken
anlp , anly
to , to
oefence , defence
Co , To
be , be
@drongtbat , strongthat
there , there
were , were
noo , noo
Ooubte , doubte
Eno , And
to , in
contteesaoiacente , contreesadiacente
aboute , aboute
Eno , And
ehealsoio , ekealsoin
fozepn , foreyn
regpons , regyons
e , e
both , hath
witlboloeall , wit@holdeall
tbe , the
cbarnppons , cha@mpyons
Eno , And
tberupoQbe , theruponhe
Cense , sente
oute , oute
tns , his
EriD , @And
lte , @is
frenoesano , frendesand
nejct , ne@xt
atlpes , allyes
End , And
all , all
tbe , the
enuprowne , enuyrowne
freflbe , fresshe
u@dpbe , ustyhe
gaoreo , gadred
to , to
towne , towne
falboweoe , @askowede
bis , his
walesano , walesand
bis , his
bpe , hye
courcs , toures
Eno , And
@dueo , stued
betQtbitb , he@m@with
manp , many
aopomes , adoures
Uounoe , Rounde
aboutebe , aboutehe
ette , ette
manp , many
gonnes , gonnes
rcfe , rete
ano , and
Cmaleano , smaleand
Come , some
large , large
as , as
tonnes , tonnes
Eno , And
bis , his
ba@dppasspng , hastypassyng
fentente , feruente
bete , hete
St , @e
Cpente , spente
bis , his
treoureano , treoureand
gas , gaf
peftes , yeftes
gifre , g@rte
frnto , @Vnto
bnpgbtesano , knyghtesand
woztbp , worthy
met , me@
of , of
name , name
euermozeto , euermoreto
entrease , encrease
bis , his
fame , fame
pafe , yafe
to , to
lozoesemel , lordesewel
manp , many
foloe , folde
Clothes , Clothes
of , of
beluetteof , veluetteof
oamafbe , damaske
of , of
goloegiui , golde@@@@
otb , o@w
etbpo , ethyo
@des , cles
maOe , made
bin , hi@
strong , strong
apco , ayen
the , the
co , co
mpng , myng
of , of
@@@@@I , Grekes
