camtftfyrste , SecundFy@ste
aDuettpngtbe , aduertyngthe
gretc , grete
f , f
tlcse , t@ese
knpgbfeoano , knyghtesand
tbe , the
Ycmlpnettie , semlyne@sse
ft , er
lustp , lusty
pouttKfjer , youthe@her
fo@ur , force
and , and
ber , her
mattfjoOc , ma@@nhode
Bod , And
both , ho@w
tiep , t@ey
w@ren , weren
comevof , comenof
blode , blode
Ell , All
bio , his
be , he
gap , gan
to , to
reuolue , reuolue
aboute , aboute
Bp , Ay
bertcbaupng , hertehauyng
a , a
tnaner , @maner
double , doubte
ptotne , yt@ene
ttboobangpng , @twoobangyng
a , a
balauncc , balaunce
ivbctijcr , @Whet@her
Ibolde , sholde
makep , maken
alpannte , alyaunce
jpttbcne , @Bytwene
bio , his
dotigbtero , do@ughters
tbe , the
bnpgbtleibap , knyghtistway
one , one
tbpngap , t@yngay
bette , herte
conftrapo , constrayn
Cbe , The
remembiauncc , remembraynce
of , of
bio , his
auptyoo , auysyon
f , f
ttblcbetbetfoe , @@hichetherfoe
made , made
tttenfpotf , @@mensyo@n
CCoutbpng , @Touchyng
tbe , the
lpopand , lyonand
tbplot , @wylde
boie@@ , boreIt
neoetb , nedeth
notro , notto
tebetfe , reberse
it , it
moic , more
astpng , astyng
aloapelu , alwayein
fantasie , fantasye
tbbat , @What
it , it
mpgbtderelp , myghtlerely
fpgnpfye , sygnyfye
Cbto , This
drcmetblo , dremethis
toao , @was
bpdde , hydde
and , and
@dose , close
ut , ut
tbe , the
moiotocBOiastuo , moro@weAdrastus
arose , arose
Brio , @And
to , to
be , he
rempletbe , templethe
@ngbt , right
tbape , @waye
be , he
take , toke
Brt , @An
gap , gan
ptapr , praye
deuou@dp , deuoutly
bio , his
boke , boke
Co , To
tbe , the
dreme , dreme
to , to
speipfpe , specyfye
tbep , they
bpii , @@hy
baddeboptetbarde , baddeho@me@warde
sot , for
to , to
bpe , hye
Hno , And
to , to
beboldeap , beholdein
tbe , the
@bddeo , seldes
Cbe , The
fell , fell
of , of
tbe , the
fcldeo , feldes
tabitbe , @Whiche
bolt , hall
to , to
bpnjbp , @hymby
@dere , clere
tnspeccpog , inspeccyon
jfuil , @Full
piapnlpmakc , playnlymake
de@daracpoo , declaracyon
f , f
bto , his
be , he
bad , had
tbe , the
ttpgbc , @nyght
Sno , And
BOrafuoenbatteD , Adratusenhasted
bptg , @hum
full , full
