Npuma , @rima
tyfMise , @@@Muse
lcrt , @ere
DpdnnwitpOutfD , vp@onwithouten
tfcctte , @@werre
cu , or
fttpft , @st@ry
fe , It
to , to
oe@dareuu , declareor
clleo , elles
left , lese
tpp , thy
Ipfe , lyfe
topao , @whan
ieopppuogao , @Edyppusgan
t@pftppnge , thisthynge
aOttctte , a@duerte
ibell , @well
attureoto , assuredin
pia , his
manlp , manly
@pnte , herte
an , an
in , in
topttelercpen , @wytteserchen
Dp , vp
ana , and
Dotme , do@ne
Hno , And
of , of
piuoencesaste , prudencecaste
id , in
reafone , reasone
Bp , By
grete , grete
aupfetopat , auyse@what
tpfo , this
tppnge , thynge
tnape , @maye
be , be
pe , he
maps , maye
not , not
potto , ho@@w
fpere , there
xuaocoutifcpll , @wascou@nseyll
none , none
not , nor
rcoe , rede
But , But
telle , telle
troutpoi , trouthor
elleo , elles
to , to
be , be
Debc , dede
Hno , And
bp , by
full , full
gooDedelpberacpO , goodedelyberacyn
pe , he
atifwttoto , answeredin
con@dufpoo , conclusyon
Cpou , Thou
Bpwit , Spynx
quoo , quod
pefalo , hefals
ano , and
Cboufotcole , Thoufo@@wle
monflretpou , monstrethou
Dragon , dragon
Cerpcnte , serpente
pat , hat
to , in
tpfo , this
pplleJpcbe , hyllelyche
ao , as
roncepue , conceyue
Xveste , Lveste
a , a
ttopaptefokco , @@whaytefokes
to , to
oecepue , deceyue
But , But
trustc , truste
tbdlfoi , wellfor
all , all
tpp , thy
flepgptp , sleyghty
ttopffc , @@wytte
CbP , Thy
false , false
ffauoespail , fraudeshall
anone , anone
bp , by
qupte , quyte
e , e
pstenot , ystenot
notbtbppiper , no@w@whysper
netper , nether
rotone , no@wne
Bar , But
tpp , thy
pall , hall
eppottone , expo@@wne
opettlptpou , ope@nlythou
palte , halte
not , not
fro , fro
too , Loo
thus , thus
i@Mefak@gooO , itistakegood
pcDetpcr , hedether
to , to
Cpplbe , Thylke
beftetpou , bestethou
spake , spake
of , of
per , her
brfoitiejotbropp , b@@@@@@e@o@@r@@n
tpto , this
ttozlOe , @worlde
bornepno , borne@@@
erpoto , whiche
tblncpettianot , @@@mave@@@@not
neop , @soo
pbktI , softe
But , But
aa , as
pis , his
moOerbrrpfp , moderberyth
lyytt , @hy@@
a , a
loft@@@@e@ , lofteInher
@@me@sppnI , armeswhane
@o@@ , doth
@@Pe@r , cryeor
armrtbaope , wependafer
@@ape@@ , gynneth
@o@t@ , forto
tbepe , crepe
@@pttoppttHno@ , Howedyppusxpow
aft , ned
@tppe , bleme
nnetp , spynx
foz , put
to , to
