@@@@@@@@@@@@@@@@a@n@@@@@@@o@@ , TerciaHowtydecplaynethTyllona
ebetbe , ekethe
bpng , kyng
Campano@@im , CampanousOf
puipos , purpos
toDctbimigb , rodethorugh
outi , oute
cbe , @he
counttee , countree
Sf , If
t@@W , they
mpgbtonp , myghtany
tbater , @water
froto , @ro@m
costs , coste
co , to
costebocbe , costebothe
@Ut , fer
ano , and
news , nere
Cpll , Tyll
of , of
foit@miep , fortuneey
encteo , entred
an , an
berbeit , herbere
pritb , @with
tees , rees
tfrt , t@he
of , of
betbeano , herbeand
of , of
g@mte , grene
toonoet , @wonder
bo@Uomebocb , holsomeboth
of , of
ano , and
ba@@@ , hayre
@@pre , There
nne , nne
a , a
laoptbac , ladythat
pastpngtp , passyngly
oas , was
fapre , fayre
as , as
tbonnDcr , thounder
a , a
bturc , laure
ere , tre
ano , And
to , in
armeoa , armesa
iptpll , lytyll
cbiloe , childe
be , he
full , Full
gracpougof , gracyousof
lobe , loke
ano , and
of , of
outage , vysage
ano , And
Yoae , @was
alfotbounoet , also@wounder
of , of
age , age
jone , @one
of , of
tbe , the
bpngbo@me , kyngborne
to , to
focceoe , succede
pgurguiD , ygurguin
as , as
icDc , rede
mljoos , @whoos
opcano , oyeand
tbotloip , @worldly
ebe , eke
dpspotfe , dysporte
ail , All
bio , his
tnprtbepleasance , @myrthepleasance
ano , and
@ms , was
to , in
tbto , this
cbtlocof , childeof
ejccetlentc , e@xcellente
faptencste , fayrenesse
fbts , this
laopmptroute , ladymyrroure
of , of
femlpneslc , semlynesse
ail , All
tooepnlpas , sodeynlyas
tit , @se
caste , caste
op , vp
bet , her
spgbc , syght
oo , on
bto , his
sttocsatoe , stedesa@we
ao , an
armco , armed
bnpgbf , knyght
tfitocelp , Gret@@ely
abastbeogao , abasshedgan
anowc , anone
renue , renue
Bus , But
ITpoeuoafCer , @Tydeusafter
gao , gan
Co , to
ue , ue
Htto , @And
Capospsttr , saydsyster
bpcb , b@yh
nocbpng , no@hyng
So , In
panre , youre
@CdfcDptpieaseo , selfedyspleased
not , nor
asrapeo , a@rayed
sot , For
tbe , @we
ate , are
comeoonlp , comeoonly
co , to
tbts , this
place , place
pou , you
co , to
bcfccbcof , besecheof
mercy , mercy
ano , and
of , of
grace , grace
