CBAACTES , CHAACTES
An , An
vnvortbie , vnworthie
@@@@i@@@@@@@@@@ , forbidourCountr
@@@@ , bree
@@@ , suc
@@@@@ , Asses
@fe , THe
foule , foule
Refuse , Refuse
and , and
the , the
defect , defect
of , of
Nature , Nature
To , To
Fortitude , Fortitude
and , and
Honour , Honour
true , true
a , a
Traytor , Traytor
When , When
to , to
advance , advance
his , his
Valour , Valour
it , it
occurs , occurs
iis , @is
Blade , Blade
js , is
blunt , blunt
and , and
hee , hee
wants , wants
rav@dld , ravelld
Spurres , Spurres
A , A
Cypher , Cypher
in , in
Court , Court
a , a
Sheepe , Sheepe
in , in
the , the
Campe , Campe
Yet , Yet
lyke , lyke
Tytidbs , TYTIDES
in , in
the , the
streetes , streetes
will , will
stampe , stampe
Hee , Hee
is , is
amongst , amongst
Men , Men
lyke , lyke
Owlcs , Owles
amongst , amongst
iid , ird
shaming , Shaming
the , the
Sword , Sword
to , to
his , his
that , that
hee , hee
girds , girds
Hee , Hee
counts , counts
for , for
no , no
sPromife , @Promise
nor , nor
Honour , Honour
nor , nor
Fayth , Fayth
Gaine , Gaine
once , once
hee , hee
his , his
point , point
that , that
hee , hee
plighted , plighted
hath , hath
A , A
Friend , Friend
or , or
a , a
Foe , Foe
hee , hee
fnely , @nely
can , can
faine , faine
Grace , Grace
thtc , thee
even , even
now , now
and , and
gloorne , gloo@me
on , on
thee , thee
againe , againe
Hees , Hees
worlhipt , worshipt
for , for
his , his
Wealth , Wealth
not , not
for , for
his , his
Wit , Wit
Neyther , Neyther
was , was
Valour , Valour
the , the
worker , worker
of , of
it , it
Where , Where
Courage , Courage
for , for
Honour , Honour
doth , doth
enterpryse , enterpryse
Thvnworthie , Thvnworthie
Knight , Knight
lyke , lyke
to , to
a , a
Lubbard , Lubbard
lyes , lyes
When , When
Magnaniraitie , Magnani@mitie
with , with
Courage , Courage
strong , strong
Throughs , Through@
PerilI , Perill
pastes , passes
to , to
repate , repare
a , a
Wrong , Wrong
Hee , Hee
saintly , faintly
searesaud , fearesand
Couragelest , Courageless
hee , hee
quakes , quakes
And , And
to , to
heare , heare
these , these
such , such
Terrour , Terrour
takes , takes
That , That
all , all
his , his
Sprites , Sprites
they , they
post , post
from , from
him , him
apace , apace
wnd , @nd
eadIyke , eadlyke
iiueldle , Liueesse
hee , hee
lookes , lookes
in , in
the , the
Face , Face
Hee , Hee
is , is
the , the
Chylde , Chylde
of , of
Pryde , Pryde
that , that
doth , doth
despise , despise
The , The
truelie , truelie
Worthie , Worthie
that , that
through , through
Vertue , Vertue
ryfe , ryse
Hees , Hees
Follies , Follies
Favrite , Favrite
full , full
of , of
Ostentation , Ostentation
And , And
onlie , onlie
mightie , mightie
in , in
Imagination , Imagination
In , In
Honours , Honours
Court , Court
yet , yet
there , there
bee , bee
no , no
such , such
pes , pes
Knights , Knights
bot , bot
in , in
Cloathes , Cloathes
and , and
Cavelliers , Cavelliers
in , in
