The , all
Academyof , @Spherial
Scien@cesj , triangles@
Ofa , @te
Spherical , @th@r@@ee
triangle@ , @@@angles
each , @two
fide@he , streiht
a@quaan@@tsor , anlesandleser
allthealesar , @@AthosKeper
@fr@@@eighndi@f , AfraganiusJuius
@hees , Garus
@@than , Robert
theadr@ant , HueAdrianu
gesare@@ , TeAademy
In , Of
Spherical , Spherical
triangl@e@swhe@@@ , triangleequateral
@@a@r@@@ , quadrant
@@ll , orof
te@ , deg
all , all
the , the
are , are
anhe , anif
quadant , eachffd
@@In , less
allpheicaltriangles , thathequa@dr@an@@@t
@th , all
angles , angles
are , are
greate , obtuse
an , In
fireigbtanglsandlesse , Sphe@@ria@@ltan@le@s@
thanfix , when@@@
AuthosKeper , @@thealesar
ifraanius , @allacute
Julius , @al@@l
Hignus , theche
GarcusRbert , @arelesthan
HueAdrianu , theadr@ant
